treatyNum,prec1,prec3,prec4,oblig1,oblig2,oblig3,oblig4,oblig5,deleg1,deleg2,deleg3,flexibility,withdrawal
10030,y,4264,y,n,y,n,4,y,n,n,n,n,n
1013,n,3,n,n,n,n,3,n,n,n,n,n,n
1016,y,1451,n,n,y,n,4,y,n,n,n,n,n
102,y,6536,y,y,y,n,4,y,y,y,n,y,n
10201,y,1229,y,y,n,n,4,y,n,y,n,n,n
10265,y,288,n,n,n,n,5,n,n,n,n,n,n
10303,n,37,n,n,n,n,3,n,n,n,n,n,n
10336,y,2624,y,n,y,n,4,n,n,n,n,n,n
10405,y,216,n,n,n,n,3,n,n,n,n,n,n
1041,y,2299,n,n,y,n,4,y,y,n,n,n,n
10485,y,19849,y,n,n,n,4,n,y,y,n,y,n
10520,y,2990,y,y,y,n,3,n,n,y,n,n,n
10553,y,804,y,y,y,n,4,n,y,n,n,n,n
10565,y,575,y,n,n,n,4,n,n,n,n,n,n
10683,y,1774,y,n,y,n,4,y,n,n,n,n,n
1070,y,1182,n,n,y,n,4,y,n,n,n,n,n
10707,y,1051,n,n,y,n,3,y,n,n,n,n,n
10722,y,1167,n,y,y,n,4,y,n,y,n,y,n
108,y,2287,n,y,y,n,4,y,y,n,n,n,n
10861,n,5,n,n,n,n,3,n,n,n,n,n,n
10901,y,3355,y,y,n,n,4,n,n,y,n,n,n
11067,n,182,n,n,n,n,1,n,n,n,n,n,n
11211,y,2455,n,y,n,n,4,y,n,y,n,y,n
11212,y,1521,n,n,y,y,4,y,n,n,n,y,n
11214,y,2839,y,n,y,n,4,y,n,n,n,y,n
11263,n,0,n,n,n,n,3,n,n,n,n,n,n
11342,y,712,n,n,n,n,4,y,n,n,n,n,n
11354,y,1975,n,y,y,y,2,n,y,n,n,y,n
11377,y,844,y,y,n,n,4,n,n,n,n,n,n
11408,y,3324,y,n,y,y,3,n,y,n,n,y,n
11548,y,1646,y,y,n,n,4,y,n,n,n,n,n
11607,y,406,y,n,n,n,4,n,n,n,n,n,n
11614,y,1630,y,n,n,n,5,n,y,n,n,n,n
11650,y,1695,y,y,n,n,4,n,y,n,n,y,n
11781,y,224,n,n,n,n,4,n,n,n,n,n,n
1180,y,1041,y,n,y,n,4,n,n,n,n,n,n
11849,y,2259,n,n,y,n,4,n,y,n,n,n,n
11929,y,6727,y,y,n,n,4,y,y,y,n,y,n
11930,y,2511,y,n,n,n,4,y,y,n,n,n,n
12024,y,1156,y,n,n,n,5,n,n,n,n,n,n
12031,n,16,n,n,n,n,3,n,n,n,n,n,n
12048,y,367,n,n,y,n,3,y,n,n,n,n,n
12172,n,0,n,n,n,n,3,n,n,n,n,n,n
12175,n,0,n,n,n,n,3,n,n,n,n,n,n
12176,n,0,n,n,n,n,3,n,n,n,n,n,n
12202,y,515,n,n,n,n,4,n,n,n,n,n,n
12226,y,472,y,n,n,n,4,n,n,n,n,n,n
12292,y,2611,y,n,y,n,4,y,n,n,n,n,n
1230,y,763,n,y,n,n,4,n,n,n,n,n,n
12307,n,1,n,n,n,n,3,n,n,n,n,n,n
12507,y,1475,n,y,n,n,4,y,n,n,n,n,n
12524,y,939,y,y,y,n,4,n,n,n,n,n,n
12615,y,4114,y,y,y,y,4,n,n,n,n,n,n
12626,y,484,y,y,n,n,3,n,n,n,n,n,n
12646,y,2830,n,n,y,n,4,y,n,y,n,y,n
12812,y,2798,n,y,y,n,4,n,n,n,n,n,n
12831,y,423,y,n,n,n,3,n,n,n,n,n,n
1296,y,1095,n,n,y,n,4,n,y,n,n,n,n
13064,y,713,n,y,n,n,4,n,n,y,n,n,n
13100,y,1113,n,n,n,n,4,n,n,n,n,n,n
13107,y,1651,y,y,n,n,4,n,n,n,n,n,n
13175,y,221,n,n,y,n,4,n,n,n,n,n,n
13219,y,396,n,n,n,n,2,y,n,n,n,n,n
13270,y,757,n,n,n,n,5,n,n,n,n,n,n
13352,y,2454,y,n,y,n,4,y,y,n,n,n,n
1340,y,1693,n,n,y,n,5,n,n,n,n,y,n
13402,y,765,y,n,n,n,4,n,n,n,n,n,n
13442,y,920,y,n,y,n,5,y,n,n,n,y,n
13446,y,505,n,n,n,n,5,n,n,n,n,n,n
13471,n,325,n,y,n,n,3,n,y,n,n,n,n
13491,y,2656,y,y,y,n,4,n,y,n,n,n,n
13504,n,0,n,n,n,n,3,n,n,n,n,n,n
13558,y,344,n,n,y,n,4,y,n,n,n,n,n
13561,y,7539,y,y,y,n,4,y,y,n,n,y,n
13593,n,66,n,n,n,n,3,n,n,n,n,n,n
13668,y,2951,y,y,y,n,4,n,y,n,n,n,n
13695,y,1159,n,n,y,n,4,n,y,n,n,n,n
13747,y,903,n,n,n,n,5,n,y,n,n,n,n
13766,n,2,n,n,n,n,3,n,n,n,n,n,n
13774,n,3,n,n,n,n,3,n,n,n,n,n,n
1379,y,1950,y,y,n,n,4,y,n,y,n,y,n
13809,y,278,n,y,n,n,5,n,n,n,n,n,n
13899,y,5587,y,y,y,n,4,n,n,n,n,y,n
13956,y,2755,y,y,y,n,4,y,y,n,n,n,n
14006,y,2775,y,y,y,n,4,n,y,n,n,n,n
14097,y,4960,y,y,n,n,4,y,y,n,n,y,n
14105,y,622,n,n,n,n,4,y,n,n,n,n,n
14152,y,8380,y,y,y,n,4,y,y,n,n,y,n
14176,y,1193,y,y,n,n,4,y,y,n,n,n,n
14287,y,2359,n,y,y,n,3,n,y,n,n,n,n
14403,y,2862,y,y,y,n,4,n,y,n,n,n,n
14451,y,322,n,n,n,n,4,n,n,n,n,n,n
14557,y,958,y,y,y,n,4,n,n,n,n,n,n
14604,y,2575,y,y,y,y,3,y,y,n,n,y,n
14607,y,2004,y,y,y,n,4,n,n,y,n,n,n
14629,y,714,n,n,y,n,4,y,y,n,y,n,n
14630,y,1279,n,n,n,n,5,n,n,n,n,n,n
14650,y,2250,y,n,y,n,4,n,y,n,n,n,n
14666,y,294,n,n,n,n,2,n,n,n,n,n,n
14668,y,4089,y,y,y,n,4,y,y,y,n,y,n
14696,y,2364,n,n,y,n,4,n,y,n,n,y,n
14765,y,2744,y,n,n,n,4,n,n,n,n,n,n
14895,y,368,n,n,n,n,4,n,n,n,n,n,n
15,y,8778,y,y,y,n,4,y,y,n,n,y,n
15039,y,530,n,n,n,n,3,y,n,n,n,n,n
15110,y,576,y,n,n,n,3,n,n,n,n,n,n
15147,y,5173,y,y,y,n,3,y,y,n,n,y,n
15238,n,29,n,n,n,n,3,n,n,n,n,n,n
15336,n,3,n,n,n,n,3,n,n,n,n,n,n
15509,y,660,y,n,y,n,4,n,y,n,y,n,n
15582,n,2,n,n,n,n,3,n,n,n,n,n,n
15604,n,22,n,n,n,n,3,n,n,n,n,n,n
15735,y,1325,n,y,y,n,3,n,n,n,n,n,n
15746,y,325,n,n,y,n,4,y,n,n,n,n,n
15832,y,1321,y,n,y,n,4,n,n,n,n,n,n
15957,y,549,n,n,n,n,4,y,n,n,n,n,n
15990,n,26,n,n,n,n,3,n,n,n,n,n,n
16041,y,10204,y,y,y,n,4,y,y,y,n,y,n
16064,y,1245,n,n,y,n,3,n,n,n,n,n,n
16085,n,1,n,n,n,n,3,n,n,n,n,n,n
1609,y,3991,n,y,y,n,2,y,n,n,n,y,n
16156,n,2,n,n,n,n,3,n,n,n,n,n,n
16174,y,960,n,n,n,n,4,y,n,n,n,n,n
16322,y,2140,y,n,y,n,4,y,n,n,n,n,n
16492,y,552,n,n,y,n,3,n,n,n,n,n,n
16549,y,805,n,n,n,n,4,n,n,n,n,n,n
16550,y,924,n,n,n,n,4,y,n,n,n,y,n
16578,y,756,n,n,y,n,3,n,n,n,n,n,n
16596,y,1706,y,n,y,n,4,n,n,n,n,n,n
16606,y,369,n,n,n,n,4,n,n,n,n,n,n
